Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
1,2,PIERRON,Amaury,FRA,COMMENCAL / VALLNORD,M,23,,,00:02:49.422,
2,7,MINNAAR,Greg,RSA,SANTA CRUZ SYNDICATE,M,38,,,00:02:50.373,
3,1,BRUNI,Loic,FRA,SPECIALIZED GRAVITY,M,25,,,00:02:50.822,
4,3,BROSNAN,Troy,AUS,CANYON FACTORY DOWNHILL TEAM,M,26,,,00:02:51.582,
5,5,HART,Danny,GBR,MADISON SARACEN FACTORY TEAM,M,28,,,00:02:52.644,
6,6,GREENLAND,Laurie,GBR,MS MONDRAKER TEAM,M,22,,,00:02:53.688,
7,13,LUCAS,Dean,AUS,SCOTT DOWNHILL FACTORY,M,24,,,00:02:53.973,
8,4,VERGIER,Loris,FRA,SANTA CRUZ SYNDICATE,M,23,,,00:02:54.285,
9,22,WILSON,Reece,GBR,TREK FACTORY RACING DH,M,23,,,00:02:55.638,
10,40,PAYET,Florent,FRA,SCOTT DOWNHILL FACTORY,M,33,,,00:02:56.246,
11,18,SHAW,Luca,USA,SANTA CRUZ SYNDICATE,M,23,,,00:02:57.449,
12,46,MULALLY,Neko,USA,INTENSE FACTORY RACING,M,26,,,00:02:57.643,
13,10,TRUMMER,David,AUT,,M,25,,,00:02:57.695,
14,9,WALLACE,Mark,CAN,CANYON FACTORY DOWNHILL TEAM,M,24,,,00:02:58.371,
15,25,ATHERTON,Gee,GBR,ATHERTON BIKES,M,34,,,00:02:59.212,
16,8,MACDONALD,Brook,NZL,MS MONDRAKER TEAM,M,28,,,00:02:59.728,
17,20,PIERRON,Baptiste,FRA,DORVAL AM,M,26,,,00:03:00.093,
18,12,WALKER,Matt,GBR,MADISON SARACEN FACTORY TEAM,M,20,,,00:03:00.176,
19,27,MARIN,Alex,ESP,MADISON SARACEN FACTORY TEAM,M,22,,,00:03:00.234,
20,65,EDWARDS,Kade,GBR,TREK FACTORY RACING DH,M,19,,,00:03:01.149,
21,24,HATTON,Charlie,GBR,ATHERTON BIKES,M,21,,,00:03:01.782,
22,34,ŽABJEK,Jure,SLO,UNIOR / DEVINCI FACTORY RACING,M,24,,,00:03:02.140,
23,39,BREEDEN,Joe,GBR,INTENSE RACING UK,M,20,,,00:03:02.409,
24,11,THIRION,Rémi,FRA,COMMENCAL / VALLNORD,M,29,,,00:03:02.448,
25,75,SMITH,Joseph,GBR,PROPAIN FACTORY RACING,M,29,,,00:03:02.821,
26,55,WEBER,Lutz,SUI,TEAMPROJECT.CH,M,27,,,00:03:03.072,
27,60,MCDOWALL,Kirk,CAN,UNIOR / DEVINCI FACTORY RACING,M,29,,,00:03:03.118,
28,36,FRIXTALON,Hugo,FRA,COMMENCAL / 100%,M,20,,,00:03:03.277,
29,44,BRAYTON,Adam,GBR,HOPE TECHNOLOGY,M,31,,,00:03:03.382,
30,21,NORTON,Dakotah,USA,UNIOR / DEVINCI FACTORY RACING,M,27,,,00:03:04.152,
31,26,MOIR,Jack,AUS,INTENSE FACTORY RACING,M,25,,,00:03:04.559,
32,42,HANNAH,Michael,AUS,POLYGON UR,M,36,,,00:03:05.085,
33,50,KOLB,Andreas,AUT,GAMUX,M,23,,,00:03:05.345,
34,76,DIPASQUALE,Charly,FRA,JCRACING VERBIER,M,29,,,00:03:05.756,
35,38,BLENKINSOP,Samuel,NZL,NORCO FACTORY TEAM,M,31,,,00:03:06.152,
36,80,CHATANAY,Valentin,FRA,,M,21,,,00:03:06.287,
37,28,BRANNIGAN,George,NZL,GT FACTORY RACING,M,27,,,00:03:06.452,
38,62,FREW,Jackson,AUS,KONA FACTORY TEAM,M,21,,,00:03:06.776,
39,96,GALLAGHER,Kenta,GBR,,M,27,,,00:03:07.236,
40,101,VIGE,Gaëtan,FRA,CUBE GLOBAL SQUAD PROTECTED BY BLISS,M,21,,,00:03:07.559,
41,58,CABIROU,Rudy,FRA,PROPAIN FACTORY RACING,M,25,,,00:03:08.497,
42,59,ZWAR,Oliver,AUS,,M,24,,,00:03:08.599,
43,45,FIGARET,Faustin,FRA,GAMUX,M,26,,,00:03:09.042,
44,68,MANSON,Magnus,CAN,CANYON FACTORY DOWNHILL TEAM,M,21,,,00:03:09.510,
45,53,ROJČEK,Adam,SVK,,M,21,,,00:03:10.136,
46,54,FAYOLLE,Alexandre,FRA,POLYGON UR,M,24,,,00:03:10.188,
47,63,COULANGES,Benoit,FRA,DORVAL AM,M,25,,,00:03:10.295,
48,48,GUTIERREZ VILLEGAS,Marcelo,COL,GIANT FACTORY OFF - ROAD TEAM,M,29,,,00:03:10.662,
49,33,ESTAQUE,Thomas,FRA,COMMENCAL / 100%,M,23,,,00:03:10.692,
50,69,MOLLOY,Harry,GBR,INSYNC,M,28,,,00:03:10.698,
51,51,PARDAL,Francisco,POR,BLACK JACK FACTORY RACING,M,28,,,00:03:11.094,
52,23,HARRISON,Charlie,USA,TREK FACTORY RACING DH,M,22,,,00:03:11.513,
53,93,FITZGERALD,Henry,CAN,NORCO FACTORY TEAM,M,21,,,00:03:12.026,
54,52,GUTIERREZ VILLEGAS,Rafael,COL,IJ RACING - CHIGÜIRO EXTREMO,M,25,,,00:03:13.179,
55,102,FISCHBACH,Johannes,GER,,M,31,,,00:03:13.417,
56,31,VON KLEBELSBERG,Johannes,ITA,,M,24,,,00:03:15.730,
57,66,HARTENSTERN,Max,GER,CUBE GLOBAL SQUAD PROTECTED BY BLISS,M,20,,,00:03:19.327,
58,15,ILES,Finn,CAN,SPECIALIZED GRAVITY,M,20,,,00:03:20.634,
59,86,PFEIFFER,Bryan,FRA,,M,22,,,00:03:20.637,
60,37,READING,Jack,GBR,,M,31,,,00:03:21.021,
61,56,REVELLI,Loris,ITA,GRAVITALIA SQUADRA CORSE,M,22,,,00:06:11.350,
,14,FEARON,Connor,AUS,KONA FACTORY TEAM,M,25,,,,DNS
